algorithm,quantum,context_switch_time,num_patrons,seed,cpu_util,mean_turnaround,median_turnaround,SD_turnaround,mean_response,median_response,SD_response,mean_wait,median_wait,SD_wait,mean_throughput,median_throughput,SD_throughput
RR,80,3,25,69,91.33,5808.60,5963.00,977.78,650.72,691.00,423.06,5062.40,5259.00,956.95,3.13,1.50,4.09
FCFS,0,3,25,69,93.91,5661.44,6132.00,1053.57,705.04,814.00,465.42,4917.28,5382.00,1064.56,3.13,1.50,4.09
SJF,0,3,25,69,92.72,4101.96,4256.00,1724.77,1192.60,107.00,1714.54,3356.40,3430.00,1483.92,3.13,3.00,1.89
RR,80,3,25,70,92.07,6088.88,6281.00,1038.24,948.08,871.00,831.43,5308.48,5537.00,1014.93,2.78,1.00,4.18
FCFS,0,3,25,70,94.13,6245.32,6635.00,743.59,719.16,755.00,452.84,5463.96,5827.00,748.71,3.13,1.00,5.44
SJF,0,3,25,70,94.15,3896.40,3548.00,2049.67,1615.44,97.00,2142.48,3115.28,3134.00,1568.01,3.13,3.00,2.03
RR,80,3,50,14,92.39,12696.02,13325.00,2672.54,1692.44,1451.00,1488.12,11887.70,12459.00,2638.70,2.78,1.50,3.75
FCFS,0,3,50,14,94.73,12710.22,13809.50,2216.78,1532.00,1723.50,873.55,11902.80,12957.00,2199.89,2.94,1.00,4.48
SJF,0,3,50,14,92.68,7929.14,7959.00,4211.53,2742.00,249.50,4226.99,7122.98,7166.00,2901.15,2.94,3.00,1.60
RR,80,3,50,25,92.25,12066.36,12097.50,3113.45,1722.96,1425.50,1622.75,11298.26,11420.00,3054.25,2.78,2.00,2.86
FCFS,0,3,50,25,94.73,12572.76,13986.50,2820.23,1525.64,1601.50,932.79,11805.84,13121.50,2794.97,2.94,2.00,4.48
SJF,0,3,50,25,93.90,7922.54,7589.00,4617.16,2457.96,96.50,4083.04,7157.60,7703.50,2938.67,2.94,3.00,1.43
RR,80,3,50,36,92.27,12398.68,12326.00,1961.21,1837.60,1624.00,1423.41,11599.24,11662.50,1919.93,2.94,1.00,3.99
FCFS,0,3,50,36,94.55,12228.04,13011.00,1740.12,1708.30,1734.00,935.95,11429.52,12210.50,1751.22,2.94,1.00,4.31
SJF,0,3,50,36,93.90,7722.76,7801.50,4272.38,2317.36,103.00,3699.46,6924.86,7126.50,2703.11,2.94,3.00,1.75
RR,80,3,50,47,92.34,12795.94,12647.00,2192.09,1845.98,1520.50,1584.49,12015.60,12018.50,2120.46,2.78,1.00,3.99
FCFS,0,3,50,47,94.75,12759.48,13672.50,1896.75,1531.08,1524.50,911.11,11981.22,12938.00,1902.68,2.94,1.00,4.25
SJF,0,3,50,47,94.31,7787.68,8084.00,4339.50,2178.88,132.00,3575.97,7009.20,7318.50,2645.51,2.94,3.00,1.56
RR,80,3,50,58,92.42,12655.30,12572.00,1978.31,1975.98,1626.50,1797.29,11888.36,11798.50,1973.38,2.94,1.00,4.28
FCFS,0,3,50,58,94.57,12531.78,13235.50,1530.82,1769.70,1545.00,1097.81,11766.38,12437.50,1533.24,2.94,1.00,4.53
SJF,0,3,50,58,94.06,8020.88,7754.00,4098.92,2611.36,296.50,3871.96,7254.94,7102.50,3345.80,2.94,3.00,1.52
